Tract,AccessCare,Arthritis,BingeEat,BPHigh,BPMed,Cancer,ChildAsthma,CHD,Checkup,CholesterolScreen,ColonScreen,COPD,CorePreventionMen,CorePreventionWomen,Smoking,Dental,Diabetes,HighCholesterol,CKD,LPA,Mammography,MentalHealth,Obesity,PapTest,PersonalHealth,Sleep,Stroke,TeethLost
5370000,11.8,25.2,16.8,31.5,67.4,6.2,11.4,5.6,64.8,76.1,64.8,6.2,37.8,33.1,18.5,62.1,10.3,31.2,3,22.6,77.3,15.1,30.8,,13.6,38,3,14.6
5374060,11,23.7,16.9,28.9,69.9,6.5,10.4,5.6,60.5,75.3,68.3,6.4,36,33.2,17.6,66.3,9.6,31.7,3,20,76.4,14.1,33.9,,12.6,32.4,3,13.7
5380010,20.1,25.8,14.4,32.2,70.2,6.5,11.3,6.9,62.1,74.1,58.9,7.7,31.3,28.6,17.9,57.4,11.8,31.6,3.7,28.5,73.9,16,36.8,,16.1,33.3,3.7,17.6
5414600,10.3,35.5,11.8,43.4,80.4,7.4,11.2,8.4,80.5,83.4,70.3,10.7,47.8,39.7,21.4,62,14.7,38.6,3.4,29.1,80.7,16,38.7,86.2,15.9,39.6,3.8,21.7
5502375,9.8,23.3,25.5,27.1,72.5,6.3,9.6,5.1,70.5,79.5,68.3,5.3,35.1,29.6,18,74.1,7.9,32.6,2.6,21.8,78.1,12.2,31.9,83.8,11.2,29.8,2.6,12.8
5531000,12.6,22.4,25.5,29,72.3,6.2,10.3,5.7,69.6,77.6,65.3,6,29.2,26.5,19.7,67.4,8.6,32.2,2.9,24.1,78.5,13.5,34.6,83.7,12.2,35.9,3,16.3
5539225,13,23.9,25,28.6,71.8,6,10,5.4,71,77.9,67.9,5.7,29.9,29.7,20.5,64.7,8.4,32,2.9,24.4,79.7,13.3,32.8,85.1,12.3,34.8,2.9,15.3
5548000,9,17.3,27.6,22.1,67.8,5.2,9.4,3.7,63.3,76.3,72,3.8,32.2,34,13.9,72.8,5.8,28.2,2.2,18.1,82,11.8,26,85.8,8.7,29.4,2,9.7
5553000,16.2,22.4,23,31.2,73.6,5.1,11.4,5.4,72.1,76.2,61.7,6,24.5,26.2,22.4,58.7,9.9,29.9,3.3,29.5,81.1,15.9,35,84.8,13.7,39.2,3.5,20.2
5566000,15.4,24.3,23.4,31.6,72.8,6.1,10.8,5.9,69.2,78,62.7,6.2,31.1,25.4,21.1,62.6,9.9,33.1,3.2,26.4,77.7,14.1,39.9,82.6,13.4,39.8,3.4,16.9
5584250,10.1,22.9,24.4,26.3,71.5,6.1,9.3,4.6,68.9,79.1,66.5,4.7,31.8,32.9,16.7,73,7.1,30.8,2.5,21,78.3,11.9,31.2,83.2,10.2,33.4,2.3,11.5
5613900,15.9,23.9,16.9,30.4,72.1,6.8,9.6,5.6,65.2,75.8,61,6.2,35.2,30.3,18.3,69.2,8.7,31.3,2.7,25.8,72.9,11.5,29.2,79.5,10.9,33.1,2.8,13.7
