ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA33486,0.001172884,24146,0.62,0.12,0.12,0.75,2.86,3.02,0.46,0.62,0.00,0.00,0.04,0.08,0.17,4.76,3.11,0.00
ZCTA34974,0.001173710,24163,0.91,0.58,0.12,1.53,1.41,8.82,1.37,1.53,0.00,0.00,0.17,0.12,1.49,5.21,5.13,0.12
ZCTA32953,0.001174584,24181,1.53,0.45,0.12,1.78,2.36,6.49,2.07,1.28,0.00,0.04,0.17,0.12,0.54,9.59,4.09,0.04
ZCTA33907,0.001175410,24198,0.62,0.33,0.08,1.65,3.18,4.63,1.32,0.41,0.00,0.00,0.21,0.25,0.50,8.27,5.74,0.08
ZCTA32832,0.001181579,24325,0.21,0.00,0.00,0.49,0.49,0.86,0.12,0.25,0.00,0.00,0.12,0.16,0.08,1.23,1.60,0.04
ZCTA32750,0.001184688,24389,1.11,0.29,0.04,2.62,3.73,4.76,1.44,0.86,0.00,0.00,0.08,0.12,0.57,6.40,3.90,0.04
ZCTA32233,0.001188768,24473,0.53,0.20,0.00,1.31,1.47,4.21,0.98,0.49,0.00,0.00,0.20,0.12,0.45,7.52,4.94,0.04
ZCTA32117,0.001195034,24602,2.80,0.61,0.08,3.82,4.59,10.65,2.03,1.54,0.00,0.08,0.41,0.24,0.98,10.28,7.40,0.04
ZCTA34109,0.001197949,24662,0.89,0.36,0.12,1.18,5.47,5.76,0.73,0.57,0.00,0.00,0.04,0.04,0.81,5.88,4.62,0.00
ZCTA33928,0.001198920,24682,0.57,0.41,0.04,0.97,2.11,3.28,0.93,0.28,0.00,0.00,0.04,0.04,0.73,5.10,2.96,0.04
ZCTA32605,0.001199017,24684,0.69,0.36,0.04,0.73,1.46,3.00,0.61,0.41,0.00,0.00,0.04,0.16,1.38,6.68,3.44,0.00
ZCTA32901,0.001203292,24772,1.86,0.48,0.28,2.22,2.87,9.08,1.74,2.18,0.00,0.00,0.16,0.08,0.81,12.88,5.53,0.00
ZCTA33547,0.001205284,24813,0.44,0.12,0.04,0.60,1.53,2.34,0.40,0.12,0.00,0.00,0.04,0.16,0.36,3.02,2.58,0.04
ZCTA33166,0.001206109,24830,0.44,0.24,0.04,1.01,3.06,3.91,0.36,0.48,0.00,0.00,0.16,0.16,0.12,3.34,2.05,0.00
ZCTA33993,0.001207372,24856,0.40,0.28,0.04,0.80,1.09,2.82,0.93,0.40,0.00,0.00,0.04,0.04,0.36,4.02,3.82,0.04
ZCTA34471,0.001209412,24898,0.84,0.32,0.08,2.57,7.19,7.99,1.33,0.72,0.00,0.00,0.52,0.28,1.81,7.87,8.64,0.04
ZCTA34491,0.001211258,24936,1.44,0.52,0.20,3.17,4.77,8.66,1.56,1.08,0.00,0.00,0.12,0.00,1.04,7.74,7.86,0.08
ZCTA32043,0.001212035,24952,0.36,0.20,0.08,1.44,1.44,5.37,1.04,0.68,0.00,0.00,0.08,0.12,0.96,7.13,5.09,0.16
ZCTA32505,0.001212667,24965,1.92,0.80,0.16,3.08,2.16,7.33,1.12,1.80,0.00,0.08,0.68,0.20,0.92,7.69,5.53,0.20
ZCTA33446,0.001213541,24983,1.72,1.08,0.04,1.56,5.48,8.33,0.76,2.16,0.00,0.00,0.04,0.04,1.12,12.09,4.08,0.04
ZCTA34769,0.001215241,25018,1.48,0.24,0.04,2.20,2.24,6.40,1.20,1.12,0.00,0.00,0.08,0.24,0.80,5.92,5.20,0.00
ZCTA33967,0.001216359,25041,0.36,0.20,0.04,0.96,1.16,2.92,0.80,0.36,0.00,0.00,0.08,0.20,0.24,2.68,4.55,0.00
ZCTA33781,0.001217233,25059,1.32,0.40,0.28,2.35,1.20,7.74,1.60,1.36,0.00,0.00,0.16,0.28,3.79,5.95,5.63,0.08
