ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA34746,0.002100806,43249,0.99,0.18,0.07,1.34,1.13,3.28,0.83,0.83,0.00,0.00,0.32,0.09,0.44,3.75,3.72,0.05
ZCTA33055,0.002108384,43405,0.65,0.18,0.14,1.73,1.50,3.46,0.71,0.85,0.00,0.00,0.28,0.14,0.28,3.71,3.16,0.07
ZCTA34786,0.002110958,43458,0.30,0.16,0.00,0.37,0.64,0.87,0.23,0.35,0.00,0.00,0.07,0.05,0.07,1.61,1.52,0.00
ZCTA32224,0.002125191,43751,0.50,0.27,0.05,0.57,1.21,2.90,0.62,0.43,0.00,0.00,0.21,0.11,0.69,5.78,2.38,0.00
ZCTA32137,0.002128202,43813,1.48,0.48,0.16,1.87,2.78,5.32,1.28,0.94,0.00,0.00,0.09,0.02,0.73,6.66,3.54,0.02
ZCTA34997,0.002138160,44018,1.02,0.55,0.09,1.27,3.73,6.66,1.23,0.41,0.00,0.00,0.09,0.05,0.64,5.41,3.88,0.05
ZCTA32907,0.002141998,44097,0.95,0.18,0.02,1.66,2.00,4.99,1.07,0.84,0.00,0.00,0.20,0.05,0.50,6.69,3.92,0.05
ZCTA33436,0.002149381,44249,0.75,0.52,0.09,1.22,3.16,4.97,1.04,0.75,0.00,0.00,0.16,0.07,0.54,6.55,3.84,0.02
ZCTA34221,0.002151567,44294,1.15,0.27,0.23,1.72,2.37,4.61,0.99,0.77,0.00,0.02,0.25,0.18,0.70,5.19,4.97,0.05
ZCTA34743,0.002153558,44335,0.83,0.09,0.07,0.88,1.15,1.92,0.32,0.36,0.00,0.02,0.14,0.05,0.43,2.46,1.87,0.00
ZCTA33020,0.002165362,44578,0.61,0.25,0.00,1.70,1.50,3.32,1.19,0.76,0.00,0.00,0.16,0.16,0.43,3.72,5.14,0.09
ZCTA32514,0.002174154,44759,1.16,0.42,0.07,1.43,5.47,5.85,0.71,1.34,0.00,0.02,0.20,0.16,0.67,7.75,3.13,0.00
ZCTA32708,0.002177409,44826,0.62,0.29,0.11,1.07,1.96,3.48,0.91,0.83,0.00,0.00,0.20,0.16,0.45,4.48,2.65,0.04
ZCTA32164,0.002195916,45207,1.39,0.31,0.13,1.97,2.70,5.04,1.06,1.24,0.00,0.00,0.18,0.13,0.64,6.22,3.52,0.04
ZCTA33179,0.002197664,45243,0.82,0.18,0.04,1.95,1.06,2.90,0.55,0.53,0.00,0.02,0.18,0.13,0.33,3.54,2.39,0.00
ZCTA34761,0.002216900,45639,0.57,0.24,0.07,0.81,1.40,2.17,0.42,0.44,0.00,0.00,0.13,0.11,0.22,2.80,2.50,0.02
ZCTA33617,0.002217531,45652,1.01,0.22,0.09,1.03,1.38,2.87,0.57,0.48,0.00,0.04,0.70,0.11,0.46,3.64,3.42,0.13
ZCTA32256,0.002219280,45688,0.70,0.24,0.11,0.68,1.18,3.02,0.74,0.44,0.00,0.00,0.24,0.13,0.72,5.71,3.55,0.02
ZCTA33615,0.002227198,45851,0.89,0.20,0.09,1.44,2.09,3.71,0.65,0.61,0.02,0.04,0.17,0.22,0.65,5.15,3.71,0.00
ZCTA32738,0.002228655,45881,1.02,0.20,0.11,1.70,2.01,4.10,0.68,0.70,0.00,0.02,0.24,0.15,0.33,3.75,3.38,0.04
ZCTA34741,0.002230549,45920,0.96,0.30,0.04,1.02,1.44,2.70,0.70,0.83,0.00,0.04,0.24,0.15,0.46,3.22,3.18,0.04
ZCTA33610,0.002232638,45963,1.48,0.20,0.09,2.00,1.46,3.66,0.59,0.98,0.00,0.00,0.59,0.24,0.54,5.11,4.87,0.20
ZCTA32835,0.002237253,46058,0.48,0.09,0.02,0.61,0.76,1.15,0.20,0.46,0.00,0.02,0.30,0.11,0.39,2.04,2.11,0.04
ZCTA34135,0.002237544,46064,0.46,0.17,0.02,1.02,1.76,3.17,0.82,0.22,0.00,0.00,0.09,0.20,0.74,4.36,3.52,0.04
ZCTA33461,0.002251145,46344,0.76,0.22,0.09,1.01,1.58,2.70,1.01,0.54,0.00,0.04,0.17,0.13,0.24,3.69,3.54,0.13
ZCTA32824,0.002260909,46545,0.39,0.26,0.13,0.49,0.88,1.29,0.39,0.41,0.00,0.00,0.26,0.09,0.15,2.00,2.06,0.00
ZCTA32712,0.002266592,46662,0.79,0.26,0.15,1.37,1.16,3.26,0.69,0.45,0.00,0.04,0.15,0.04,0.47,3.32,3.41,0.06
ZCTA33319,0.002284030,47021,0.74,0.36,0.09,1.83,2.15,4.55,0.60,1.49,0.00,0.11,0.26,0.17,0.34,5.00,2.66,0.09
ZCTA33032,0.002286264,47067,0.53,0.08,0.02,0.98,0.74,1.36,0.49,0.42,0.00,0.02,0.30,0.15,0.15,2.19,2.32,0.08
ZCTA33010,0.002294231,47231,0.76,0.40,0.08,2.35,2.73,5.44,0.76,0.93,0.00,0.02,0.06,0.02,0.21,3.96,2.46,0.00
ZCTA34668,0.002298020,47309,1.52,0.38,0.04,3.30,2.85,8.33,1.69,1.08,0.00,0.02,0.17,0.15,3.23,7.04,6.98,0.04
ZCTA33155,0.002304869,47450,1.05,0.27,0.06,1.48,3.50,3.54,0.55,0.57,0.00,0.02,0.15,0.15,0.19,5.90,2.19,0.00
ZCTA32304,0.002321238,47787,0.25,0.04,0.04,0.63,0.27,1.49,0.31,0.15,0.00,0.02,0.06,0.02,0.13,2.22,1.59,0.10
ZCTA33147,0.002323521,47834,0.92,0.19,0.27,2.88,1.42,3.39,0.61,0.90,0.00,0.02,0.50,0.21,0.27,4.24,5.71,0.08
ZCTA33029,0.002326484,47895,0.25,0.13,0.04,0.46,1.09,1.17,0.33,0.33,0.00,0.00,0.10,0.06,0.13,1.63,1.42,0.00
ZCTA33321,0.002330322,47974,1.06,0.48,0.08,1.67,2.52,6.52,0.69,1.44,0.00,0.04,0.10,0.06,0.48,5.13,3.42,0.00
ZCTA32725,0.002331973,48008,1.33,0.25,0.10,1.77,2.87,4.58,1.31,0.73,0.00,0.00,0.10,0.08,0.40,5.23,3.31,0.04
ZCTA33614,0.002332993,48029,1.12,0.19,0.12,1.42,2.17,3.98,0.81,0.58,0.00,0.00,0.42,0.15,0.54,4.46,2.87,0.04
ZCTA33162,0.002340571,48185,0.56,0.27,0.12,1.33,0.73,1.95,0.39,0.33,0.02,0.00,0.33,0.06,0.35,2.74,2.26,0.02
ZCTA33324,0.002370784,48807,0.53,0.35,0.08,0.76,0.94,2.60,0.55,0.53,0.00,0.00,0.08,0.06,0.27,2.64,2.29,0.00
ZCTA32608,0.002375545,48905,0.47,0.25,0.04,0.86,0.92,2.37,0.72,0.49,0.00,0.02,0.27,0.08,0.74,4.23,2.41,0.08
ZCTA33612,0.002395315,49312,1.62,0.24,0.10,1.70,2.64,5.39,0.97,0.85,0.00,0.00,0.71,0.16,0.75,6.35,4.56,0.14
ZCTA33021,0.002397160,49350,0.67,0.67,0.14,0.95,3.14,4.64,0.95,0.91,0.00,0.00,0.16,0.12,0.49,4.98,3.08,0.02
ZCTA33578,0.002410956,49634,0.69,0.10,0.08,0.79,1.01,2.10,0.50,0.24,0.00,0.02,0.10,0.16,0.30,2.72,2.68,0.02
ZCTA32259,0.002427228,49969,0.26,0.14,0.00,0.60,0.92,1.88,0.36,0.26,0.00,0.00,0.12,0.02,0.24,4.02,2.04,0.02
ZCTA33810,0.002443404,50302,1.05,0.30,0.02,1.43,1.53,5.65,0.80,0.78,0.00,0.04,0.20,0.18,0.42,6.04,3.58,0.12
ZCTA32303,0.002449913,50436,0.69,0.26,0.10,0.93,1.31,2.84,0.50,0.65,0.00,0.02,0.28,0.28,0.48,5.02,2.60,0.12
ZCTA32174,0.002470945,50869,1.53,0.63,0.10,2.42,4.93,8.53,1.45,1.18,0.00,0.02,0.12,0.14,1.12,8.55,5.01,0.04
ZCTA32792,0.002476872,50991,0.94,0.29,0.12,1.35,2.51,3.96,0.61,0.69,0.00,0.00,0.10,0.10,0.37,5.20,2.86,0.06
ZCTA32703,0.002476920,50992,0.96,0.24,0.06,1.53,1.39,4.04,0.63,0.57,0.00,0.02,0.29,0.16,0.25,3.61,4.29,0.04
ZCTA33016,0.002477454,51003,0.73,0.14,0.02,0.90,1.71,2.98,0.35,0.33,0.00,0.00,0.16,0.16,0.12,3.10,1.65,0.00
ZCTA32246,0.002490667,51275,0.86,0.12,0.06,0.96,0.70,2.15,0.68,0.49,0.00,0.02,0.18,0.14,0.47,3.43,4.90,0.04
ZCTA33193,0.002495670,51378,0.43,0.21,0.04,0.68,1.97,1.40,0.43,0.31,0.00,0.00,0.08,0.06,0.16,2.20,1.77,0.02
ZCTA33178,0.002499604,51459,0.33,0.08,0.02,0.43,0.66,0.70,0.16,0.16,0.00,0.02,0.10,0.10,0.08,0.84,0.70,0.00
ZCTA33415,0.002505579,51582,0.74,0.21,0.04,1.09,1.80,3.92,0.66,0.70,0.00,0.02,0.17,0.12,0.27,3.92,3.49,0.00
ZCTA33068,0.002507279,51617,0.43,0.02,0.08,1.01,0.83,1.51,0.43,0.50,0.00,0.02,0.27,0.15,0.17,1.80,2.85,0.02
ZCTA33196,0.002513837,51752,0.37,0.31,0.14,0.64,1.24,1.58,0.37,0.29,0.00,0.04,0.10,0.06,0.06,1.91,1.39,0.00
ZCTA32839,0.002543905,52371,0.71,0.10,0.06,0.69,0.42,1.45,0.59,0.36,0.00,0.00,0.52,0.13,0.15,1.85,2.60,0.10
ZCTA33176,0.002548276,52461,0.74,0.23,0.06,1.51,2.08,2.73,0.46,0.59,0.00,0.04,0.13,0.06,0.10,4.29,2.10,0.00
ZCTA33018,0.002551434,52526,0.27,0.13,0.02,0.93,1.87,2.70,0.29,0.23,0.00,0.00,0.08,0.06,0.06,2.80,1.50,0.00
ZCTA33126,0.002573827,52987,0.59,0.26,0.04,1.40,2.70,2.66,0.40,0.51,0.00,0.00,0.06,0.00,0.11,3.66,2.08,0.00
ZCTA33467,0.002590925,53339,0.81,0.36,0.07,1.11,3.13,5.04,0.84,0.99,0.00,0.00,0.04,0.09,0.49,6.19,4.09,0.00
ZCTA33312,0.002601271,53552,0.88,0.13,0.09,1.10,1.03,2.28,0.90,0.73,0.00,0.00,0.15,0.17,0.21,3.25,3.85,0.11
ZCTA32837,0.002625510,54051,0.67,0.19,0.04,0.80,1.04,2.04,0.39,0.50,0.00,0.00,0.17,0.06,0.20,2.57,2.29,0.00
ZCTA32225,0.002647126,54496,0.86,0.15,0.06,1.23,0.86,3.19,0.88,0.72,0.00,0.02,0.35,0.17,0.46,4.62,4.04,0.04
ZCTA32162,0.002648777,54530,1.03,0.64,0.07,1.89,3.58,4.79,1.25,0.64,0.00,0.00,0.00,0.06,0.64,8.62,5.45,0.00
ZCTA33063,0.002668547,54937,0.67,0.27,0.13,1.73,2.18,4.46,0.89,1.09,0.00,0.02,0.04,0.13,0.36,4.33,3.37,0.00
ZCTA32771,0.002670636,54980,1.05,0.16,0.00,2.04,1.36,3.62,0.85,0.76,0.00,0.04,0.18,0.20,0.29,3.86,3.53,0.13
ZCTA34744,0.002681808,55210,0.74,0.09,0.09,0.74,1.18,2.48,0.62,0.69,0.00,0.04,0.13,0.14,0.33,2.48,2.70,0.05
ZCTA33175,0.002687831,55334,0.85,0.36,0.05,1.28,3.76,3.29,0.49,0.78,0.00,0.00,0.09,0.13,0.18,4.63,2.24,0.00
ZCTA32818,0.002700072,55586,0.74,0.14,0.07,1.42,1.04,1.80,0.40,0.56,0.00,0.02,0.38,0.13,0.32,2.28,2.75,0.05
ZCTA33161,0.002703812,55663,0.74,0.31,0.18,1.63,1.31,3.18,0.54,0.59,0.02,0.04,0.22,0.18,0.56,3.63,2.46,0.00
ZCTA33165,0.002726643,56133,0.86,0.29,0.05,1.51,4.13,4.52,0.78,0.91,0.00,0.00,0.02,0.11,0.25,5.83,2.35,0.00
ZCTA33458,0.002751367,56642,0.58,0.14,0.00,0.46,2.03,2.45,0.56,0.34,0.00,0.00,0.04,0.04,0.28,4.18,2.81,0.02
ZCTA32068,0.002779735,57226,0.66,0.26,0.03,1.07,0.89,4.12,0.91,0.51,0.00,0.03,0.10,0.17,0.30,4.70,3.72,0.07
ZCTA33065,0.002788138,57399,0.63,0.14,0.09,0.77,0.98,2.51,0.44,0.63,0.00,0.02,0.09,0.10,0.37,2.58,2.74,0.00
ZCTA32808,0.002790275,57443,0.99,0.21,0.07,1.44,0.99,2.42,0.42,0.73,0.00,0.02,0.57,0.16,0.33,3.13,4.11,0.10
ZCTA33511,0.002799942,57642,1.09,0.14,0.03,1.47,1.75,3.33,0.52,0.35,0.00,0.02,0.29,0.12,0.26,4.72,2.91,0.02
ZCTA33177,0.002823598,58129,0.48,0.19,0.03,1.38,1.94,2.20,0.40,0.71,0.00,0.02,0.14,0.03,0.10,3.10,2.06,0.03
ZCTA33033,0.002828212,58224,0.55,0.15,0.09,1.32,0.98,1.68,0.52,0.52,0.00,0.00,0.21,0.26,0.10,2.49,2.40,0.09
ZCTA33142,0.002845213,58574,1.45,0.26,0.09,2.44,1.33,3.99,0.92,0.94,0.00,0.02,0.26,0.14,0.27,4.47,4.83,0.00
ZCTA33027,0.002923759,60191,0.80,0.23,0.08,0.98,2.43,3.61,0.45,1.03,0.00,0.02,0.12,0.08,0.35,3.21,2.19,0.02
ZCTA34711,0.002941877,60564,0.81,0.40,0.08,1.25,2.25,3.24,0.73,0.41,0.00,0.00,0.25,0.07,0.41,5.83,3.62,0.00
ZCTA32244,0.002949066,60712,1.12,0.16,0.05,1.52,0.76,3.29,1.02,0.61,0.00,0.00,0.25,0.21,0.33,5.72,4.63,0.12
ZCTA32822,0.002952418,60781,1.14,0.18,0.05,1.56,1.17,2.71,0.76,0.74,0.00,0.02,0.35,0.08,0.20,3.21,3.22,0.05
ZCTA33414,0.002977676,61301,0.38,0.21,0.03,0.59,1.48,1.96,0.49,0.31,0.00,0.02,0.05,0.07,0.11,3.23,2.63,0.05
ZCTA33064,0.002982340,61397,0.59,0.26,0.10,1.09,0.99,3.01,0.83,0.75,0.00,0.02,0.20,0.10,0.39,3.11,4.27,0.05
ZCTA33125,0.002986954,61492,0.80,0.28,0.05,1.53,2.24,3.38,0.68,0.60,0.00,0.02,0.16,0.08,0.21,3.85,2.55,0.02
ZCTA32210,0.002987149,61496,1.09,0.21,0.07,1.87,1.51,4.89,1.11,1.02,0.00,0.02,0.63,0.28,0.42,6.80,5.51,0.31
ZCTA32825,0.002989772,61550,0.58,0.16,0.06,1.01,1.14,2.16,0.50,0.58,0.00,0.03,0.15,0.19,0.29,2.99,2.68,0.03
ZCTA32218,0.003004150,61846,1.26,0.11,0.08,1.49,0.73,3.82,0.81,0.68,0.00,0.02,0.45,0.16,0.47,4.95,4.38,0.08
ZCTA33463,0.003013719,62043,0.55,0.11,0.05,0.73,1.10,2.53,0.47,0.48,0.00,0.02,0.13,0.23,0.39,2.93,3.11,0.03
ZCTA33313,0.003031303,62405,0.59,0.18,0.19,1.30,0.58,2.13,0.38,0.79,0.00,0.00,0.27,0.29,0.26,2.77,3.06,0.11
ZCTA34787,0.003143899,64723,0.68,0.20,0.02,1.08,1.44,2.41,0.59,0.45,0.00,0.03,0.17,0.14,0.37,3.32,2.32,0.05
ZCTA32765,0.003164689,65151,0.72,0.21,0.06,1.00,1.30,2.03,0.29,0.45,0.00,0.00,0.08,0.06,0.35,2.79,1.78,0.00
ZCTA32828,0.003189656,65665,0.43,0.08,0.08,0.72,0.87,1.42,0.32,0.59,0.00,0.02,0.14,0.11,0.20,1.78,1.78,0.03
ZCTA33015,0.003219141,66272,0.42,0.12,0.05,0.62,1.45,2.19,0.35,0.44,0.00,0.00,0.11,0.08,0.11,2.31,1.55,0.03
ZCTA33647,0.003289963,67730,0.44,0.10,0.07,0.44,0.83,1.12,0.28,0.19,0.00,0.00,0.18,0.10,0.41,1.96,1.99,0.03
ZCTA33157,0.003322605,68402,0.69,0.16,0.16,2.09,2.31,2.88,0.67,0.70,0.00,0.00,0.23,0.12,0.42,4.87,2.92,0.06
ZCTA34953,0.003384927,69685,0.59,0.33,0.04,0.96,1.72,2.87,0.67,0.63,0.00,0.00,0.09,0.17,0.16,2.74,2.90,0.03
ZCTA33186,0.003430052,70614,0.48,0.20,0.01,0.78,1.84,2.03,0.41,0.47,0.00,0.00,0.08,0.03,0.20,2.78,1.47,0.03
ZCTA33411,0.003477316,71587,0.88,0.21,0.08,1.02,1.77,2.96,0.66,0.73,0.00,0.00,0.10,0.11,0.25,4.82,3.60,0.03
ZCTA33025,0.003485865,71763,0.26,0.20,0.07,0.71,1.00,1.55,0.26,0.59,0.00,0.00,0.25,0.10,0.20,1.90,1.73,0.06
ZCTA33311,0.003547603,73034,0.89,0.22,0.19,2.11,1.11,2.93,0.90,1.47,0.00,0.03,0.37,0.18,0.41,4.15,4.22,0.23
ZCTA33023,0.003578545,73671,0.50,0.14,0.08,1.09,1.10,2.29,0.45,0.69,0.00,0.00,0.27,0.19,0.24,2.67,2.95,0.07
ZCTA33024,0.003657965,75306,0.45,0.20,0.11,1.05,1.38,2.87,0.73,0.68,0.00,0.00,0.17,0.05,0.35,2.87,3.24,0.03
ZCTA33012,0.003675452,75666,0.66,0.26,0.09,1.63,2.70,5.66,0.69,0.83,0.00,0.01,0.13,0.05,0.21,4.64,2.26,0.01
